name,ban,win,lose,pose,year,basho
日馬富士,横綱,12,3,0,2016,1
白鵬,横綱,12,3,0,2016,1
鶴竜,横綱,10,5,0,2016,1
稀勢の里,大関,9,6,0,2016,1
照ノ富士,大関,3,3,9,2016,1
琴奨菊,大関,14,1,0,2016,1
豪栄道,大関,4,11,0,2016,1
栃煌山,関脇,7,8,0,2016,1
嘉風,関脇,8,7,0,2016,1
勢,小結,5,10,0,2016,1
栃ノ心,小結,6,9,0,2016,1
安美錦,前頭筆頭,6,8,1,2016,1
松鳳山,前頭筆頭,5,10,0,2016,1
宝富士,前頭2枚目,8,7,0,2016,1
碧山,前頭2枚目,7,8,0,2016,1
逸ノ城,前頭3枚目,2,13,0,2016,1
魁聖,前頭3枚目,5,10,0,2016,1
旭秀鵬,前頭4枚目,7,8,0,2016,1
琴勇輝,前頭4枚目,9,6,0,2016,1
大砂嵐,前頭5枚目,0,0,15,2016,1
蒼国来,前頭5枚目,8,7,0,2016,1
徳勝龍,前頭6枚目,4,11,0,2016,1
隠岐の海,前頭6枚目,10,5,0,2016,1
豊ノ島,前頭7枚目,12,3,0,2016,1
玉鷲,前頭7枚目,5,10,0,2016,1
妙義龍,前頭8枚目,8,7,0,2016,1
高安,前頭8枚目,11,4,0,2016,1
佐田の海,前頭9枚目,7,8,0,2016,1
臥牙丸,前頭9枚目,7,8,0,2016,1
千代鳳,前頭10枚目,5,7,3,2016,1
御嶽海,前頭10枚目,5,8,2,2016,1
遠藤,前頭11枚目,1,6,8,2016,1
阿夢露,前頭11枚目,7,8,0,2016,1
千代大龍,前頭12枚目,8,7,0,2016,1
正代,前頭12枚目,10,5,0,2016,1
豪風,前頭13枚目,10,5,0,2016,1
貴ノ岩,前頭13枚目,9,6,0,2016,1
常幸龍,前頭14枚目,2,4,9,2016,1
豊響,前頭14枚目,8,7,0,2016,1
誉富士,前頭15枚目,4,11,0,2016,1
北太樹,前頭15枚目,7,8,0,2016,1
輝,前頭16枚目,4,11,0,2016,1
日馬富士,横綱,9,6,0,2016,3
白鵬,横綱,14,1,0,2016,3
鶴竜,横綱,10,5,0,2016,3
琴奨菊,大関,8,7,0,2016,3
稀勢の里,大関,13,2,0,2016,3
豪栄道,大関,12,3,0,2016,3
照ノ富士,大関,8,7,0,2016,3
嘉風,関脇,4,11,0,2016,3
豊ノ島,関脇,3,12,0,2016,3
栃煌山,小結,4,11,0,2016,3
宝富士,小結,6,9,0,2016,3
琴勇輝,前頭筆頭,12,3,0,2016,3
高安,前頭筆頭,5,10,0,2016,3
隠岐の海,前頭2枚目,8,7,0,2016,3
栃ノ心,前頭2枚目,6,9,0,2016,3
碧山,前頭3枚目,7,8,0,2016,3
安美錦,前頭3枚目,7,8,0,2016,3
勢,前頭4枚目,10,5,0,2016,3
蒼国来,前頭4枚目,5,8,2,2016,3
旭秀鵬,前頭5枚目,6,9,0,2016,3
松鳳山,前頭5枚目,4,11,0,2016,3
妙義龍,前頭6枚目,10,5,0,2016,3
正代,前頭6枚目,9,6,0,2016,3
豪風,前頭7枚目,5,10,0,2016,3
魁聖,前頭7枚目,11,4,0,2016,3
貴ノ岩,前頭8枚目,8,7,0,2016,3
千代大龍,前頭8枚目,3,12,0,2016,3
豊響,前頭9枚目,3,12,0,2016,3
佐田の海,前頭9枚目,7,8,0,2016,3
臥牙丸,前頭10枚目,5,10,0,2016,3
玉鷲,前頭10枚目,9,6,0,2016,3
逸ノ城,前頭11枚目,11,4,0,2016,3
阿夢露,前頭11枚目,7,8,0,2016,3
徳勝龍,前頭12枚目,8,7,0,2016,3
英乃海,前頭12枚目,7,8,0,2016,3
千代鳳,前頭13枚目,8,7,0,2016,3
御嶽海,前頭13枚目,10,5,0,2016,3
大翔丸,前頭14枚目,8,7,0,2016,3
大栄翔,前頭14枚目,10,5,0,2016,3
里山,前頭15枚目,6,9,0,2016,3
北太樹,前頭15枚目,3,12,0,2016,3
明瀬山,前頭16枚目,4,11,0,2016,3
白鵬,横綱,15,0,0,2016,5
鶴竜,横綱,11,4,0,2016,5
日馬富士,横綱,10,5,0,2016,5
稀勢の里,大関,13,2,0,2016,5
豪栄道,大関,9,6,0,2016,5
琴奨菊,大関,10,5,0,2016,5
照ノ富士,大関,2,13,0,2016,5
琴勇輝,関脇,7,8,0,2016,5
勢,関脇,4,11,0,2016,5
魁聖,小結,8,7,0,2016,5
隠岐の海,小結,6,9,0,2016,5
妙義龍,前頭筆頭,6,9,0,2016,5
宝富士,前頭筆頭,7,8,0,2016,5
正代,前頭2枚目,6,9,0,2016,5
逸ノ城,前頭2枚目,5,10,0,2016,5
碧山,前頭3枚目,6,9,0,2016,5
安美錦,前頭3枚目,1,2,12,2016,5
嘉風,前頭4枚目,7,8,0,2016,5
栃ノ心,前頭4枚目,10,5,0,2016,5
栃煌山,前頭5枚目,8,7,0,2016,5
高安,前頭5枚目,9,6,0,2016,5
貴ノ岩,前頭6枚目,5,10,0,2016,5
玉鷲,前頭6枚目,4,11,0,2016,5
豊ノ島,前頭7枚目,5,10,0,2016,5
大砂嵐,前頭7枚目,9,6,0,2016,5
旭秀鵬,前頭8枚目,0,0,15,2016,5
御嶽海,前頭8枚目,11,4,0,2016,5
蒼国来,前頭9枚目,7,8,0,2016,5
大栄翔,前頭9枚目,6,9,0,2016,5
佐田の海,前頭10枚目,7,8,0,2016,5
徳勝龍,前頭10枚目,6,9,0,2016,5
千代鳳,前頭11枚目,8,7,0,2016,5
松鳳山,前頭11枚目,11,4,0,2016,5
豪風,前頭12枚目,8,7,0,2016,5
阿夢露,前頭12枚目,3,8,4,2016,5
大翔丸,前頭13枚目,9,6,0,2016,5
英乃海,前頭13枚目,5,10,0,2016,5
錦木,前頭14枚目,7,8,0,2016,5
青狼,前頭14枚目,5,10,0,2016,5
臥牙丸,前頭15枚目,6,9,0,2016,5
遠藤,前頭15枚目,11,4,0,2016,5
千代大龍,前頭16枚目,6,9,0,2016,5
白鵬,横綱,10,5,0,2016,7
鶴竜,横綱,2,2,11,2016,7
日馬富士,横綱,13,2,0,2016,7
稀勢の里,大関,12,3,0,2016,7
琴奨菊,大関,1,6,8,2016,7
豪栄道,大関,7,8,0,2016,7
照ノ富士,大関,8,7,0,2016,7
魁聖,関脇,7,8,0,2016,7
栃ノ心,関脇,6,9,0,2016,7
琴勇輝,小結,2,13,0,2016,7
高安,小結,11,4,0,2016,7
御嶽海,前頭筆頭,5,10,0,2016,7
栃煌山,前頭筆頭,8,7,0,2016,7
隠岐の海,前頭2枚目,8,7,0,2016,7
宝富士,前頭2枚目,10,5,0,2016,7
大砂嵐,前頭3枚目,0,1,14,2016,7
妙義龍,前頭3枚目,7,8,0,2016,7
松鳳山,前頭4枚目,5,10,0,2016,7
勢,前頭4枚目,5,10,0,2016,7
正代,前頭5枚目,9,6,0,2016,7
嘉風,前頭5枚目,10,5,0,2016,7
碧山,前頭6枚目,8,7,0,2016,7
遠藤,前頭6枚目,3,12,0,2016,7
逸ノ城,前頭7枚目,9,6,0,2016,7
大翔丸,前頭7枚目,7,8,0,2016,7
千代鳳,前頭8枚目,9,6,0,2016,7
豪風,前頭8枚目,6,9,0,2016,7
千代の国,前頭9枚目,8,5,2,2016,7
蒼国来,前頭9枚目,6,9,0,2016,7
貴ノ岩,前頭10枚目,12,3,0,2016,7
佐田の海,前頭10枚目,7,8,0,2016,7
豊ノ島,前頭11枚目,0,0,15,2016,7
大栄翔,前頭11枚目,5,10,0,2016,7
玉鷲,前頭12枚目,9,6,0,2016,7
徳勝龍,前頭12枚目,6,9,0,2016,7
豊響,前頭13枚目,7,8,0,2016,7
安美錦,前頭13枚目,0,0,15,2016,7
輝,前頭14枚目,7,8,0,2016,7
錦木,前頭14枚目,9,6,0,2016,7
北はり磨,前頭15枚目,6,9,0,2016,7
佐田の富士,前頭15枚目,4,11,0,2016,7
荒鷲,前頭16枚目,9,6,0,2016,7
日馬富士,横綱,12,3,0,2016,9
白鵬,横綱,0,0,15,2016,9
鶴竜,横綱,10,5,0,2016,9
稀勢の里,大関,10,5,0,2016,9
照ノ富士,大関,4,11,0,2016,9
豪栄道,大関,15,0,0,2016,9
琴奨菊,大関,9,6,0,2016,9
高安,関脇,10,5,0,2016,9
宝富士,関脇,4,11,0,2016,9
魁聖,小結,6,9,0,2016,9
栃煌山,小結,7,8,0,2016,9
隠岐の海,前頭筆頭,9,6,0,2016,9
嘉風,前頭筆頭,7,8,0,2016,9
栃ノ心,前頭2枚目,5,10,0,2016,9
正代,前頭2枚目,7,8,0,2016,9
貴ノ岩,前頭3枚目,5,10,0,2016,9
逸ノ城,前頭3枚目,0,0,15,2016,9
妙義龍,前頭4枚目,5,10,0,2016,9
千代鳳,前頭4枚目,1,10,4,2016,9
碧山,前頭5枚目,9,6,0,2016,9
御嶽海,前頭5枚目,10,5,0,2016,9
千代の国,前頭6枚目,8,7,0,2016,9
玉鷲,前頭6枚目,10,5,0,2016,9
